name,company,image,for_gender,rating,number_votes,main accords ,sillage,top notes,middle notes,base notes,longevity,,gender_vote,price value,,,,,,,,seasons,main accords old
The Only One,Dolce&Gabbana,https://fimgs.net/mdimg/perfume/375x500.51249.jpg,for women,3.93,2105,"caramel , sweet , powdery , vanilla , violet , coffee , warm spicy , citrus , iris , fruity ",moderate,"['Violet', 'Bergamot', 'Orange']","['Coffee', 'Pear', 'iris', 'Orange Blossom', 'Rose']","['Caramel', 'Vanilla', 'Patchouli']","{'very weak': 54, 'weak': 95, 'moderate': 313, 'long lasting': 247, 'eternal': 75}",,"{'female': 163, 'more female': 21, 'unisex': 6, 'more male': 0, 'male': 0}","{'way overpriced': 6, 'overpriced': 27, 'ok': 101, 'good value': 28, 'great value': 7}",,,,,,,,fall,"{'caramel': 100.0, 'sweet': 94.3257, 'powdery': 91.5379, 'vanilla': 82.2614, 'violet': 80.9848, 'coffee': 79.3939, 'warm spicy': 69.106, 'citrus': 66.2348, 'iris': 65.4545, 'fruity': 57.2727}"
Bleu de Chanel Parfum,Chanel,https://fimgs.net/mdimg/perfume/375x500.49912.jpg,for men,4.15,1881,"woody , citrus , aromatic , amber , fresh spicy , warm spicy , powdery , green , lavender ",moderate,"['Lemon Zest', 'Bergamot', 'Mint', 'Artemisia']","['Lavender', 'Geranium', 'Pineapple', 'Green Notes']","['Sandalwood', 'Cedar', 'Amberwood', 'Iso E Super', 'Tonka Bean']","{'very weak': 86, 'weak': 75, 'moderate': 297, 'long lasting': 479, 'eternal': 148}",,"{'female': 1, 'more female': 1, 'unisex': 17, 'more male': 80, 'male': 192}","{'way overpriced': 69, 'overpriced': 107, 'ok': 88, 'good value': 21, 'great value': 10}",,,,,,,,summer,"{'woody': 100.0, 'citrus': 65.2876, 'aromatic': 64.2295, 'amber': 58.8671, 'fresh spicy': 56.4889, 'warm spicy': 48.5581, 'powdery': 48.4092, 'green': 46.0875, 'lavender': 45.9745}"
Coco Mademoiselle Intense,Chanel,https://fimgs.net/mdimg/perfume/375x500.48310.jpg,for women,4.3,2412,"citrus , vanilla , patchouli , sweet , woody , amber , warm spicy , balsamic , rose , fruity ",strong,"['Sicilian Orange', 'Calabrian bergamot', 'Lemon']","['Rose', 'Fruity Notes', 'Jasmine']","['Patchouli', 'Tonka Bean', 'Madagascar Vanilla', 'Labdanum', 'White Musk']","{'very weak': 62, 'weak': 70, 'moderate': 163, 'long lasting': 359, 'eternal': 279}",,"{'female': 120, 'more female': 25, 'unisex': 17, 'more male': 0, 'male': 0}","{'way overpriced': 19, 'overpriced': 48, 'ok': 62, 'good value': 16, 'great value': 8}",,,,,,,,fall,"{'citrus': 100.0, 'vanilla': 92.3802, 'patchouli': 82.2433, 'sweet': 76.5974, 'woody': 68.3632, 'amber': 65.0267, 'warm spicy': 63.5306, 'balsamic': 57.8967, 'rose': 56.2404, 'fruity': 53.272}"
La Nuit Trésor à la Folie,Lancome,https://fimgs.net/mdimg/perfume/375x500.48019.jpg,for women,4.21,1892,"vanilla , amber , sweet , fruity , soft spicy , fresh , rose , warm spicy , floral , powdery ",strong,"['Red Currant', 'Pear', 'Pink Pepper', 'Bergamot']","['Damask Rose', 'Violet', 'Peony', 'Jasmine']","['Bourbon Vanilla', 'Tonka Bean', 'Benzoin', 'Nutmeg', 'Ambroxan', 'Patchouli', 'Woody Notes']","{'very weak': 48, 'weak': 70, 'moderate': 189, 'long lasting': 244, 'eternal': 141}",,"{'female': 129, 'more female': 13, 'unisex': 1, 'more male': 0, 'male': 0}","{'way overpriced': 6, 'overpriced': 31, 'ok': 56, 'good value': 32, 'great value': 4}",,,,,,,,winter,"{'vanilla': 100.0, 'amber': 78.0656, 'sweet': 67.3995, 'fruity': 60.7908, 'soft spicy': 55.2649, 'fresh': 54.1597, 'rose': 53.7565, 'warm spicy': 52.0141, 'floral': 51.2026, 'powdery': 50.8243}"
Gentleman Eau de Parfum,Givenchy,https://fimgs.net/mdimg/perfume/375x500.48476.jpg,for men,4.21,1464,"warm spicy , powdery , amber , vanilla , iris , sweet , balsamic , fresh spicy , earthy , woody ",moderate,"['Black Pepper', 'Lavender', 'Bergamot']","['Orris', 'Cloves', 'Cinnamon']","['Black Vanilla Husk', 'Tolu Balsam', 'Patchouli', 'Tonka Bean', 'Benzoin']","{'very weak': 47, 'weak': 57, 'moderate': 146, 'long lasting': 425, 'eternal': 217}",,"{'female': 1, 'more female': 2, 'unisex': 25, 'more male': 73, 'male': 134}","{'way overpriced': 3, 'overpriced': 25, 'ok': 106, 'good value': 72, 'great value': 17}",,,,,,,,winter,"{'warm spicy': 100.0, 'powdery': 93.7552, 'amber': 90.823, 'vanilla': 86.2821, 'iris': 72.1601, 'sweet': 60.0113, 'balsamic': 58.7948, 'fresh spicy': 58.0856, 'earthy': 53.5526, 'woody': 48.6709}"
Pure XS For Her,Paco Rabanne,https://fimgs.net/mdimg/perfume/375x500.51424.jpg,for women,3.8,1748,"vanilla , sweet , woody , powdery , yellow floral , coconut , lactonic , musky , white floral , fruity ",moderate,[],"['Popocorn', 'Vanilla', 'Ylang-Ylang', 'Coconut', 'Peach', 'Orange Blossom', 'Ambrette (Musk Mallow)', 'White Musk', 'Sandalwood', 'Amberwood']",[],"{'very weak': 57, 'weak': 72, 'moderate': 206, 'long lasting': 275, 'eternal': 106}",,"{'female': 157, 'more female': 16, 'unisex': 8, 'more male': 0, 'male': 1}","{'way overpriced': 3, 'overpriced': 27, 'ok': 100, 'good value': 21, 'great value': 7}",,,,,,,,fall,"{'vanilla': 100.0, 'sweet': 90.7123, 'woody': 75.3591, 'powdery': 67.3763, 'yellow floral': 67.3763, 'coconut': 64.6375, 'lactonic': 60.2474, 'musky': 59.16, 'white floral': 51.6686, 'fruity': 49.1714}"
Eros Flame,Versace,https://fimgs.net/mdimg/perfume/375x500.52180.jpg,for men,3.79,1310,"citrus , aromatic , vanilla , fresh spicy , woody , warm spicy , sweet , powdery , rose ",strong,"['Mandarin Orange', 'Black Pepper', 'Chinotto', 'Lemon', 'Rosemary']","['Pepper', 'Geranium', 'Rose']","['Vanilla', 'Tonka Bean', 'Texas Cedar', 'Sandalwood', 'Patchouli', 'Oakmoss']","{'very weak': 48, 'weak': 47, 'moderate': 153, 'long lasting': 393, 'eternal': 115}",,"{'female': 3, 'more female': 3, 'unisex': 28, 'more male': 91, 'male': 130}","{'way overpriced': 4, 'overpriced': 21, 'ok': 90, 'good value': 106, 'great value': 15}",,,,,,,,fall and winter,"{'citrus': 100.0, 'aromatic': 78.8842, 'vanilla': 77.0038, 'fresh spicy': 76.6695, 'woody': 65.2361, 'warm spicy': 55.169200000000004, 'sweet': 49.532, 'powdery': 46.4062, 'rose': 45.5871}"
Moustache Eau de Parfum,Rochas,https://fimgs.net/mdimg/perfume/375x500.52350.jpg,for men,4.44,865,"vanilla , amber , woody , warm spicy , rose , soft spicy , citrus , balsamic , patchouli , sweet ",moderate,"['Pink Pepper', 'Mandarin Orange']","['Atlas Cedar', 'Bulgarian Rose']","['Benzoin', 'Vanilla', 'Patchouli']","{'very weak': 38, 'weak': 40, 'moderate': 167, 'long lasting': 237, 'eternal': 80}",,"{'female': 0, 'more female': 1, 'unisex': 28, 'more male': 99, 'male': 88}","{'way overpriced': 3, 'overpriced': 4, 'ok': 34, 'good value': 78, 'great value': 78}",,,,,,,,fall,"{'vanilla': 100.0, 'amber': 88.2881, 'woody': 85.79, 'warm spicy': 72.4489, 'rose': 67.1089, 'soft spicy': 66.6383, 'citrus': 61.4973, 'balsamic': 57.0804, 'patchouli': 56.6098, 'sweet': 54.2203}"
Scandal By Night,Jean Paul Gaultier,https://fimgs.net/mdimg/perfume/375x500.50715.jpg,for women,4.19,1163,"sweet , honey , vanilla , white floral , woody , tuberose , cherry , amber , warm spicy , citrus ",strong,"['Honey', 'Bitter Orange', 'Citruses']","['Tuberose', 'Cherry', 'Orange Blossom', 'Pear', 'Nard Himalayan (Jatamansi)']","['Tonka Bean', 'Vanilla', 'Patchouli', 'Sandalwood', 'Amberwood', 'White Musk']","{'very weak': 35, 'weak': 37, 'moderate': 80, 'long lasting': 201, 'eternal': 229}",,"{'female': 114, 'more female': 5, 'unisex': 2, 'more male': 0, 'male': 0}","{'way overpriced': 7, 'overpriced': 25, 'ok': 65, 'good value': 15, 'great value': 6}",,,,,,,,winter,"{'sweet': 100.0, 'honey': 87.2564, 'vanilla': 77.2321, 'white floral': 64.5872, 'woody': 59.9654, 'tuberose': 59.4359, 'cherry': 59.0769, 'amber': 56.0705, 'warm spicy': 53.7103, 'citrus': 51.8526}"
Boss The Scent Private Accord for Her ,Hugo Boss,https://fimgs.net/mdimg/perfume/375x500.50875.jpg,for women,4.1,1055,"cacao , warm spicy , citrus , sweet , coffee , fruity , vanilla , floral , amber ",moderate,['Mandarin Orange'],"['Coffee', 'Osmanthus']","['Cacao', 'Tonka Bean']","{'very weak': 61, 'weak': 96, 'moderate': 177, 'long lasting': 77, 'eternal': 35}",,"{'female': 87, 'more female': 14, 'unisex': 8, 'more male': 0, 'male': 0}","{'way overpriced': 3, 'overpriced': 26, 'ok': 43, 'good value': 30, 'great value': 5}",,,,,,,,fall,"{'cacao': 100.0, 'warm spicy': 95.858, 'citrus': 68.5207, 'sweet': 60.7752, 'coffee': 58.9941, 'fruity': 53.858, 'vanilla': 52.6154, 'floral': 48.1731, 'amber': 46.1538}"
Dolce Garden,Dolce&Gabbana,https://fimgs.net/mdimg/perfume/375x500.48151.jpg,for women,3.97,1510,"floral , vanilla , coconut , sweet , tropical , almond , lactonic , citrus , nutty , fruity ",moderate,"['Magnolia', 'Mandarin Orange', 'Neroli']","['Coconut', 'Frangipani', 'Ylang-Ylang']","['Vanilla Absolute', 'Almond Milk', 'Sandalwood']","{'very weak': 31, 'weak': 42, 'moderate': 209, 'long lasting': 148, 'eternal': 81}",,"{'female': 115, 'more female': 8, 'unisex': 4, 'more male': 0, 'male': 1}","{'way overpriced': 5, 'overpriced': 20, 'ok': 57, 'good value': 25, 'great value': 5}",,,,,,,,summer,"{'floral': 100.0, 'vanilla': 95.3291, 'coconut': 93.1245, 'sweet': 91.0349, 'tropical': 77.7399, 'almond': 72.268, 'lactonic': 72.1816, 'citrus': 70.9913, 'nutty': 67.9857, 'fruity': 58.8224}"
Uomo Salvatore Ferragamo Signature ,Salvatore Ferragamo,https://fimgs.net/mdimg/perfume/375x500.50797.jpg,for men,4.36,722,"warm spicy , leather , coffee , aromatic , vanilla , cinnamon , citrus , sweet , amber , woody ",strong,"['Italian Mandarin', 'Pink Pepper', 'Grapefruit']","['Cinnamon', 'Cardamom', 'Cypress']","['Tonka Bean', 'Leather', 'Roasted Coffee Beans', 'Patchouli']","{'very weak': 37, 'weak': 26, 'moderate': 95, 'long lasting': 265, 'eternal': 55}",,"{'female': 2, 'more female': 1, 'unisex': 11, 'more male': 34, 'male': 100}","{'way overpriced': 3, 'overpriced': 10, 'ok': 29, 'good value': 47, 'great value': 52}",,,,,,,,fall and winter,"{'warm spicy': 100.0, 'leather': 63.3782, 'coffee': 62.7052, 'aromatic': 60.9152, 'vanilla': 58.1696, 'cinnamon': 52.8802, 'citrus': 51.6689, 'sweet': 50.7941, 'amber': 50.1211, 'woody': 47.8466}"
Euphoria Amber Gold,Calvin Klein,https://fimgs.net/mdimg/perfume/375x500.49559.jpg,for women,3.89,148,"amber , sweet , powdery , woody , honey , citrus , vanilla , fruity , white floral , floral ",strong,"['Plum', 'Mandarin Orange', 'Rose']","['Honey', 'Orange Blossom', 'Orris']","['Amber', 'Sandalwood', 'Vanilla', 'Labdanum']","{'very weak': 6, 'weak': 4, 'moderate': 22, 'long lasting': 19, 'eternal': 13}",,"{'female': 7, 'more female': 2, 'unisex': 4, 'more male': 0, 'male': 0}","{'way overpriced': 0, 'overpriced': 0, 'ok': 1, 'good value': 4, 'great value': 6}",,,,,,,,fall,"{'amber': 100.0, 'sweet': 79.8485, 'powdery': 74.5985, 'woody': 74.1742, 'honey': 71.8939, 'citrus': 63.7008, 'vanilla': 61.2879, 'fruity': 56.5151, 'white floral': 53.3333, 'floral': 49.0379}"
Ani,Nishane,https://fimgs.net/mdimg/perfume/375x500.54785.jpg,for women and men,4.4,933,"warm spicy , vanilla , woody , citrus , powdery , aromatic , amber , soft spicy , fruity , balsamic ",strong,"['Ginger', 'Bergamot', 'Pink Pepper', 'Green Notes']","['Black Currant', 'Cardamom', 'Turkish Rose']","['Vanilla', 'Sandalwood', 'Benzoin', 'Cedar', 'Patchouli', 'Ambergris', 'Musk']","{'very weak': 42, 'weak': 48, 'moderate': 70, 'long lasting': 189, 'eternal': 231}",,"{'female': 9, 'more female': 23, 'unisex': 177, 'more male': 47, 'male': 10}","{'way overpriced': 22, 'overpriced': 79, 'ok': 109, 'good value': 21, 'great value': 9}",,,,,,,,fall and winter,"{'warm spicy': 100.0, 'vanilla': 83.3599, 'woody': 73.0815, 'citrus': 62.3807, 'powdery': 61.8191, 'aromatic': 54.6223, 'amber': 54.3539, 'soft spicy': 52.4851, 'fruity': 52.0676, 'balsamic': 49.0755}"
Bad Boy Le Parfum,Carolina Herrera,https://fimgs.net/mdimg/perfume/375x500.65718.jpg,for men,3.05,21,"aromatic , fresh spicy , leather , woody , herbal , cannabis , citrus , earthy , smoky , animalic ",moderate,"['Grapefruit', 'cannabis']","['Geranium', 'Black Pepper']","['Leather', 'Vetiver']","{'very weak': 0, 'weak': 0, 'moderate': 3, 'long lasting': 6, 'eternal': 0}",,"{'female': 0, 'more female': 0, 'unisex': 0, 'more male': 6, 'male': 2}","{'way overpriced': 1, 'overpriced': 0, 'ok': 5, 'good value': 0, 'great value': 0}",,,,,,,,spring and summer,"{'aromatic': 100.0, 'fresh spicy': 89.1444, 'leather': 63.6899, 'woody': 53.5829, 'herbal': 53.2086, 'cannabis': 52.4599, 'citrus': 52.4599, 'earthy': 50.2139, 'smoky': 49.0909, 'animalic': 46.8449}"
By the Fireplace,Maison Martin Margiela,https://fimgs.net/mdimg/perfume/375x500.31623.jpg,for women and men,4.35,3464,"woody , vanilla , balsamic , amber , warm spicy , powdery , nutty , musky ",moderate,"['Cloves', 'Pink Pepper', 'Orange Blossom']","['Chestnut', 'Guaiac Wood', 'Juniper']","['Vanilla', 'Peru Balsam', 'Cashmeran']","{'very weak': 71, 'weak': 80, 'moderate': 335, 'long lasting': 572, 'eternal': 177}",,"{'female': 12, 'more female': 47, 'unisex': 286, 'more male': 77, 'male': 25}","{'way overpriced': 16, 'overpriced': 86, 'ok': 215, 'good value': 50, 'great value': 13}",,,,,,,,winter,"{'woody': 100.0, 'vanilla': 76.8611, 'balsamic': 76.0794, 'amber': 62.9031, 'warm spicy': 62.6432, 'powdery': 57.6745, 'nutty': 54.0916, 'musky': 44.8059}"
Hacivat,Nishane,https://fimgs.net/mdimg/perfume/375x500.44174.jpg,for women and men,4.44,1344,"woody , citrus , mossy , fruity , sweet , earthy , fresh spicy , tropical , aromatic , patchouli ",enormous,"['Pineapple', 'Grapefruit', 'Bergamot']","['Cedar', 'Patchouli', 'Jasmine']","['Oakmoss', 'Woody Notes']","{'very weak': 56, 'weak': 43, 'moderate': 72, 'long lasting': 229, 'eternal': 585}",,"{'female': 3, 'more female': 2, 'unisex': 66, 'more male': 115, 'male': 99}","{'way overpriced': 39, 'overpriced': 99, 'ok': 99, 'good value': 38, 'great value': 9}",,,,,,,,summer,"{'woody': 100.0, 'citrus': 93.7663, 'mossy': 74.9663, 'fruity': 73.2402, 'sweet': 68.4357, 'earthy': 68.3807, 'fresh spicy': 54.8029, 'tropical': 54.0223, 'aromatic': 47.3928, 'patchouli': 47.2609}"
Herod,Parfums de Marly,https://fimgs.net/mdimg/perfume/375x500.16939.jpg,for men,4.49,3544,"tobacco , vanilla , warm spicy , cinnamon , sweet , amber , woody , powdery , musky , fruity ",moderate,"['Cinnamon', 'Pepper']","['Tobacco Leaf', 'Incense', 'Osmanthus', 'Labdanum']","['Vanilla', 'Iso E Super', 'Musk', 'Cedar', 'Cypriol Oil or Nagarmotha', 'Vetiver']","{'very weak': 102, 'weak': 126, 'moderate': 335, 'long lasting': 787, 'eternal': 416}",,"{'female': 7, 'more female': 6, 'unisex': 105, 'more male': 141, 'male': 113}","{'way overpriced': 37, 'overpriced': 131, 'ok': 120, 'good value': 32, 'great value': 16}",,,,,,,,winter,"{'tobacco': 100.0, 'vanilla': 95.0157, 'warm spicy': 89.0454, 'cinnamon': 82.7465, 'sweet': 80.5282, 'amber': 75.8013, 'woody': 70.8224, 'powdery': 58.2629, 'musky': 57.0798, 'fruity': 55.7543}"
Delina,Parfums de Marly,https://fimgs.net/mdimg/perfume/375x500.43871.jpg,for women,4.13,2325,"rose , floral , fresh , fruity , musky , green , aromatic , tropical , powdery , woody ",strong,"['Litchi', 'Rhubarb', 'Bergamot', 'Nutmeg']","['Turkish Rose', 'Peony', 'Musk', 'Petalia', 'Vanilla']","['Cashmeran', 'Cedar', 'Haitian Vetiver', 'Incense']","{'very weak': 56, 'weak': 81, 'moderate': 190, 'long lasting': 318, 'eternal': 310}",,"{'female': 267, 'more female': 20, 'unisex': 4, 'more male': 2, 'male': 3}","{'way overpriced': 112, 'overpriced': 103, 'ok': 56, 'good value': 11, 'great value': 6}",,,,,,,,spring and summer,"{'rose': 100.0, 'floral': 94.1626, 'fresh': 84.2662, 'fruity': 83.0169, 'musky': 57.9651, 'green': 56.8467, 'aromatic': 56.0829, 'tropical': 54.2881, 'powdery': 53.8898, 'woody': 53.5843}"
Red Tobacco,Mancera,https://fimgs.net/mdimg/perfume/375x500.46663.jpg,for women and men,4.13,1836,"warm spicy , tobacco , woody , sweet , vanilla , amber , cinnamon , oud , powdery , fruity ",strong,"['Cinnamon', 'Agarwood (Oud)', 'Saffron', 'Incense', 'Nutmeg', 'Green Apple', 'White Pear']","['Patchouli', 'Jasmine']","['Tobacco', 'Madagascar Vanilla', 'Amber', 'Sandalwood', 'Guaiac Wood', 'White Musk', 'Haitian Vetiver']","{'very weak': 54, 'weak': 47, 'moderate': 85, 'long lasting': 350, 'eternal': 699}",,"{'female': 10, 'more female': 11, 'unisex': 151, 'more male': 168, 'male': 169}","{'way overpriced': 14, 'overpriced': 36, 'ok': 203, 'good value': 137, 'great value': 70}",,,,,,,,fall and winter,"{'warm spicy': 100.0, 'tobacco': 97.255, 'woody': 78.933, 'sweet': 75.4138, 'vanilla': 67.6653, 'amber': 65.6783, 'cinnamon': 64.6329, 'oud': 60.9622, 'powdery': 59.1028, 'fruity': 57.822}"
Baccarat Rouge 540 Extrait de Parfum,Maison Francis Kurkdjian,https://fimgs.net/mdimg/perfume/375x500.46066.jpg,for women and men,4.28,2370,"amber , almond , woody , warm spicy , animalic , nutty , fruity , musky , white floral , sweet ",strong,"['Bitter Almond', 'Saffron']","['Egyptian Jasmine', 'Cedar']","['Ambergris', 'Musk', 'Woody Notes']","{'very weak': 63, 'weak': 52, 'moderate': 116, 'long lasting': 257, 'eternal': 594}",,"{'female': 81, 'more female': 84, 'unisex': 192, 'more male': 15, 'male': 8}","{'way overpriced': 181, 'overpriced': 93, 'ok': 60, 'good value': 20, 'great value': 16}",,,,,,,,fall and winter,"{'amber': 100.0, 'almond': 97.7462, 'woody': 86.6099, 'warm spicy': 80.0341, 'animalic': 78.3172, 'nutty': 70.6477, 'fruity': 63.8731, 'musky': 61.8182, 'white floral': 60.8902, 'sweet': 56.893}"
Black Phantom,By Kilian,https://fimgs.net/mdimg/perfume/375x500.43632.jpg,for women and men,4.27,2146,"sweet , warm spicy , caramel , coffee , chocolate , rum , woody , almond , powdery , vanilla ",enormous,[],"['Dark Chocolate', 'Rum', 'Caramel', 'Coffee', 'Sugar Cane', 'Almond', 'Sandalwood', 'Heliotrope']",[],"{'very weak': 68, 'weak': 70, 'moderate': 191, 'long lasting': 316, 'eternal': 422}",,"{'female': 14, 'more female': 21, 'unisex': 167, 'more male': 95, 'male': 38}","{'way overpriced': 69, 'overpriced': 93, 'ok': 75, 'good value': 46, 'great value': 6}",,,,,,,,winter,"{'sweet': 100.0, 'warm spicy': 92.2229, 'caramel': 71.3151, 'coffee': 68.8129, 'chocolate': 66.5435, 'rum': 64.309, 'woody': 61.6613, 'almond': 59.4734, 'powdery': 46.9857, 'vanilla': 46.5319}"
Scandal,Jean Paul Gaultier,https://fimgs.net/mdimg/perfume/375x500.45651.jpg,for women,3.78,3088,"honey , sweet , white floral , citrus , patchouli , caramel , animalic , beeswax , floral , woody ",strong,"['Blood Orange', 'Mandarin Orange']","['Honey', 'Gardenia', 'Orange Blossom', 'Jasmine', 'Peach']","['Beeswax', 'Patchouli', 'Caramel', 'Licorice']","{'very weak': 39, 'weak': 79, 'moderate': 228, 'long lasting': 459, 'eternal': 356}",,"{'female': 217, 'more female': 24, 'unisex': 3, 'more male': 2, 'male': 0}","{'way overpriced': 10, 'overpriced': 35, 'ok': 121, 'good value': 38, 'great value': 3}",,,,,,,,fall and winter,"{'honey': 100.0, 'sweet': 78.1837, 'white floral': 68.5579, 'citrus': 60.0998, 'patchouli': 53.7305, 'caramel': 52.2581, 'animalic': 52.1091, 'beeswax': 50.8747, 'floral': 48.2688, 'woody': 46.8477}"
Fucking Fabulous,Tom Ford,https://fimgs.net/mdimg/perfume/375x500.46513.jpg,for women and men,3.74,2372,"aromatic , vanilla , leather , almond , amber , sweet , woody , lavender , powdery , nutty ",moderate,"['Clary Sage', 'Lavender']","['Bitter Almond', 'Leather', 'Vanilla', 'Orris']","['Leather', 'Tonka Bean', 'Cashmeran', 'White Woods', 'Amber']","{'very weak': 143, 'weak': 94, 'moderate': 244, 'long lasting': 351, 'eternal': 145}",,"{'female': 6, 'more female': 13, 'unisex': 161, 'more male': 74, 'male': 23}","{'way overpriced': 122, 'overpriced': 77, 'ok': 29, 'good value': 13, 'great value': 6}",,,,,,,,spring,"{'aromatic': 100.0, 'vanilla': 91.4561, 'leather': 91.1555, 'almond': 87.84, 'amber': 79.0319, 'sweet': 78.1028, 'woody': 72.8107, 'lavender': 70.8979, 'powdery': 70.6884, 'nutty': 64.704}"
Gucci Guilty Absolute,Gucci,https://fimgs.net/mdimg/perfume/375x500.43040.jpg,for men,4.01,2893,"woody , leather , aromatic , animalic , earthy , patchouli , smoky ",moderate,['Leather'],"['Cypress', 'Patchouli']","['Woody Notes', 'Vetiver']","{'very weak': 83, 'weak': 86, 'moderate': 351, 'long lasting': 597, 'eternal': 332}",,"{'female': 1, 'more female': 0, 'unisex': 47, 'more male': 38, 'male': 289}","{'way overpriced': 13, 'overpriced': 19, 'ok': 126, 'good value': 109, 'great value': 85}",,,,,,,,fall and winter,"{'woody': 100.0, 'leather': 79.299, 'aromatic': 58.6796, 'animalic': 54.6495, 'earthy': 49.2421, 'patchouli': 47.2678, 'smoky': 44.7897}"
Luna Rossa Carbon,Prada,https://fimgs.net/mdimg/perfume/375x500.43402.jpg,for men,4.27,1929,"fresh spicy , amber , lavender , aromatic , mineral , metallic , citrus , musky , woody , earthy ",moderate,"['Bergamot', 'Pepper']","['Lavender', 'Metallic notes', 'Coal', 'Watery Notes', 'Soil tincture']","['Ambroxan', 'Patchouli']","{'very weak': 64, 'weak': 81, 'moderate': 327, 'long lasting': 521, 'eternal': 98}",,"{'female': 1, 'more female': 0, 'unisex': 11, 'more male': 41, 'male': 182}","{'way overpriced': 5, 'overpriced': 11, 'ok': 91, 'good value': 106, 'great value': 8}",,,,,,,,fall and winter,"{'fresh spicy': 100.0, 'amber': 96.799, 'lavender': 90.686, 'aromatic': 82.4611, 'mineral': 78.4154, 'metallic': 75.6812, 'citrus': 74.014, 'musky': 70.0794, 'woody': 59.0759, 'earthy': 56.4529}"
Emporio Armani Stronger With You,Giorgio Armani,https://fimgs.net/mdimg/perfume/375x500.45258.jpg,for men,4.01,2359,"warm spicy , vanilla , aromatic , sweet , woody , soft spicy , fruity , amber , ozonic , balsamic ",strong,"['Cardamom', 'Pink Pepper', 'Mint', 'Violet Leaf']","['Pineapple', 'Sage', 'Melon', 'Cinnamon', 'Lavender']","['Vanilla', 'Chestnut', 'Cedar', 'Amberwood', 'Guaiac Wood']","{'very weak': 64, 'weak': 65, 'moderate': 210, 'long lasting': 671, 'eternal': 167}",,"{'female': 3, 'more female': 4, 'unisex': 36, 'more male': 114, 'male': 90}","{'way overpriced': 4, 'overpriced': 30, 'ok': 111, 'good value': 64, 'great value': 11}",,,,,,,,fall and winter,"{'warm spicy': 100.0, 'vanilla': 89.2723, 'aromatic': 78.4256, 'sweet': 69.8005, 'woody': 69.3085, 'soft spicy': 61.0525, 'fruity': 57.0415, 'amber': 56.5971, 'ozonic': 54.9427, 'balsamic': 53.0821}"
Prada L'Homme Intense,Prada,https://fimgs.net/mdimg/perfume/375x500.45396.jpg,for men,4.44,1449,"iris , amber , powdery , woody , leather , earthy , violet , vanilla , warm spicy , animalic ",moderate,['iris'],"['Amber', 'Patchouli']","['Tonka Bean', 'Leather', 'Sandalwood']","{'very weak': 39, 'weak': 50, 'moderate': 160, 'long lasting': 419, 'eternal': 168}",,"{'female': 3, 'more female': 0, 'unisex': 36, 'more male': 75, 'male': 84}","{'way overpriced': 7, 'overpriced': 24, 'ok': 92, 'good value': 42, 'great value': 5}",,,,,,,,spring and summer,"{'iris': 100.0, 'amber': 87.0031, 'powdery': 86.5069, 'woody': 79.2913, 'leather': 72.7119, 'earthy': 68.8721, 'violet': 65.0, 'vanilla': 62.9939, 'warm spicy': 60.6102, 'animalic': 58.0431}"
Sì Passione,Giorgio Armani,https://fimgs.net/mdimg/perfume/375x500.48002.jpg,for women,3.75,2306,"fruity , sweet , woody , rose , vanilla , soft spicy , floral , fresh , powdery , citrus ",moderate,"['Pear', 'Black Currant', 'Pink Pepper', 'Grapefruit']","['Rose', 'Pineapple', 'Heliotrope', 'Jasmine']","['Vanilla', 'Cedar', 'Patchouli', 'Amberwood']","{'very weak': 101, 'weak': 145, 'moderate': 307, 'long lasting': 133, 'eternal': 53}",,"{'female': 137, 'more female': 13, 'unisex': 4, 'more male': 0, 'male': 0}","{'way overpriced': 17, 'overpriced': 31, 'ok': 77, 'good value': 9, 'great value': 2}",,,,,,,,spring,"{'fruity': 100.0, 'sweet': 71.7321, 'woody': 55.9421, 'rose': 54.7169, 'vanilla': 54.016, 'soft spicy': 53.5046, 'floral': 48.6246, 'fresh': 47.2359, 'powdery': 45.4552, 'citrus': 44.8192}"
Twilly d’Hermès,Hermès,https://fimgs.net/mdimg/perfume/375x500.46145.jpg,for women,3.67,3445,"white floral , warm spicy , citrus , tuberose , woody , fresh , powdery , animalic , vanilla ",moderate,"['Ginger', 'Bitter Orange', 'Bergamot']","['Tuberose', 'Orange Blossom', 'Jasmine']","['Sandalwood', 'Vanilla']","{'very weak': 64, 'weak': 89, 'moderate': 333, 'long lasting': 335, 'eternal': 147}",,"{'female': 84, 'more female': 37, 'unisex': 33, 'more male': 1, 'male': 1}","{'way overpriced': 3, 'overpriced': 23, 'ok': 68, 'good value': 20, 'great value': 5}",,,,,,,,summer,"{'white floral': 100.0, 'warm spicy': 90.0373, 'citrus': 80.7654, 'tuberose': 77.7796, 'woody': 64.4761, 'fresh': 53.0225, 'powdery': 51.6409, 'animalic': 48.5707, 'vanilla': 44.3531}"
